dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
174.0E-3,5.218E-9,9.407E-9,13.61E-9,17.82E-9,22.03E-9,176.0E-3,586.2E-9,447.7E-9,309.3E-9,171.4E-9,724.6E-9
176.0E-3,5.561E-9,10.03E-9,14.51E-9,18.99E-9,23.48E-9,178.0E-3,624.3E-9,476.9E-9,329.4E-9,182.5E-9,771.8E-9
178.0E-3,5.926E-9,10.68E-9,15.46E-9,20.24E-9,25.02E-9,180.0E-3,664.9E-9,507.8E-9,350.7E-9,194.3E-9,821.9E-9
180.0E-3,6.314E-9,11.39E-9,16.48E-9,21.57E-9,26.66E-9,182.0E-3,708.1E-9,540.8E-9,373.5E-9,206.9E-9,875.3E-9
182.0E-3,6.728E-9,12.13E-9,17.56E-9,22.99E-9,28.41E-9,184.0E-3,754.0E-9,575.9E-9,397.7E-9,220.3E-9,932.1E-9
184.0E-3,7.169E-9,12.93E-9,18.71E-9,24.50E-9,30.28E-9,186.0E-3,802.8E-9,613.1E-9,423.4E-9,234.5E-9,992.5E-9
186.0E-3,7.638E-9,13.77E-9,19.94E-9,26.10E-9,32.26E-9,188.0E-3,854.8E-9,652.8E-9,450.8E-9,249.6E-9,1.057E-6
188.0E-3,8.137E-9,14.68E-9,21.24E-9,27.81E-9,34.38E-9,190.0E-3,910.0E-9,695.0E-9,479.9E-9,265.7E-9,1.125E-6
190.0E-3,8.668E-9,15.64E-9,22.63E-9,29.63E-9,36.63E-9,192.0E-3,968.8E-9,739.8E-9,510.9E-9,282.8E-9,1.198E-6
192.0E-3,9.234E-9,16.66E-9,24.11E-9,31.57E-9,39.02E-9,194.0E-3,1.031E-6,787.5E-9,543.8E-9,301.0E-9,1.275E-6
194.0E-3,9.836E-9,17.75E-9,25.69E-9,33.63E-9,41.57E-9,196.0E-3,1.098E-6,838.2E-9,578.8E-9,320.3E-9,1.357E-6
196.0E-3,10.48E-9,18.90E-9,27.37E-9,35.83E-9,44.29E-9,198.0E-3,1.168E-6,892.1E-9,615.9E-9,340.9E-9,1.444E-6
198.0E-3,11.16E-9,20.14E-9,29.15E-9,38.16E-9,47.17E-9,200.0E-3,1.243E-6,949.4E-9,655.4E-9,362.7E-9,1.537E-6
200.0E-3,11.88E-9,21.45E-9,31.05E-9,40.65E-9,50.25E-9,202.0E-3,1.323E-6,1.010E-6,697.4E-9,385.9E-9,1.636E-6
202.0E-3,12.66E-9,22.84E-9,33.07E-9,43.30E-9,53.52E-9,204.0E-3,1.408E-6,1.075E-6,742.1E-9,410.5E-9,1.740E-6
204.0E-3,13.48E-9,24.32E-9,35.22E-9,46.11E-9,57.00E-9,206.0E-3,1.498E-6,1.144E-6,789.5E-9,436.7E-9,1.852E-6
206.0E-3,14.35E-9,25.90E-9,37.51E-9,49.11E-9,60.70E-9,208.0E-3,1.593E-6,1.217E-6,839.8E-9,464.5E-9,1.970E-6
208.0E-3,15.28E-9,27.58E-9,39.94E-9,52.29E-9,64.64E-9,210.0E-3,1.695E-6,1.294E-6,893.3E-9,494.0E-9,2.096E-6
210.0E-3,16.27E-9,29.37E-9,42.53E-9,55.68E-9,68.84E-9,212.0E-3,1.803E-6,1.377E-6,950.1E-9,525.3E-9,2.229E-6
212.0E-3,17.32E-9,31.27E-9,45.28E-9,59.29E-9,73.29E-9,214.0E-3,1.917E-6,1.464E-6,1.010E-6,558.5E-9,2.371E-6
214.0E-3,18.43E-9,33.29E-9,48.21E-9,63.12E-9,78.04E-9,216.0E-3,2.039E-6,1.557E-6,1.074E-6,593.8E-9,2.521E-6
216.0E-3,19.62E-9,35.44E-9,51.32E-9,67.20E-9,83.08E-9,218.0E-3,2.168E-6,1.655E-6,1.142E-6,631.3E-9,2.681E-6
218.0E-3,20.88E-9,37.72E-9,54.63E-9,71.54E-9,88.44E-9,220.0E-3,2.305E-6,1.760E-6,1.214E-6,671.0E-9,2.851E-6
220.0E-3,22.23E-9,40.15E-9,58.15E-9,76.15E-9,94.14E-9,222.0E-3,2.451E-6,1.871E-6,1.291E-6,713.2E-9,3.031E-6
222.0E-3,23.65E-9,42.74E-9,61.90E-9,81.05E-9,100.2E-9,224.0E-3,2.605E-6,1.989E-6,1.372E-6,757.9E-9,3.222E-6
224.0E-3,25.17E-9,45.48E-9,65.87E-9,86.26E-9,106.6E-9,226.0E-3,2.769E-6,2.114E-6,1.458E-6,805.3E-9,3.424E-6
226.0E-3,26.78E-9,48.40E-9,70.10E-9,91.80E-9,113.5E-9,228.0E-3,2.943E-6,2.246E-6,1.550E-6,855.6E-9,3.639E-6
228.0E-3,28.49E-9,51.50E-9,74.59E-9,97.69E-9,120.8E-9,230.0E-3,3.127E-6,2.387E-6,1.647E-6,908.9E-9,3.867E-6
230.0E-3,30.31E-9,54.79E-9,79.37E-9,103.9E-9,128.5E-9,232.0E-3,3.323E-6,2.536E-6,1.749E-6,965.3E-9,4.109E-6
232.0E-3,32.24E-9,58.29E-9,84.44E-9,110.6E-9,136.7E-9,234.0E-3,3.530E-6,2.694E-6,1.858E-6,1.025E-6,4.365E-6
234.0E-3,34.29E-9,62.00E-9,89.83E-9,117.6E-9,145.5E-9,236.0E-3,3.749E-6,2.862E-6,1.974E-6,1.089E-6,4.637E-6
236.0E-3,36.47E-9,65.95E-9,95.55E-9,125.1E-9,154.7E-9,238.0E-3,3.982E-6,3.039E-6,2.096E-6,1.156E-6,4.925E-6
238.0E-3,38.78E-9,70.14E-9,101.6E-9,133.1E-9,164.6E-9,240.0E-3,4.229E-6,3.227E-6,2.225E-6,1.227E-6,5.230E-6
240.0E-3,41.23E-9,74.59E-9,108.1E-9,141.6E-9,175.0E-9,242.0E-3,4.490E-6,3.426E-6,2.363E-6,1.302E-6,5.553E-6
242.0E-3,43.84E-9,79.32E-9,114.9E-9,150.5E-9,186.1E-9,244.0E-3,4.767E-6,3.637E-6,2.508E-6,1.382E-6,5.896E-6
244.0E-3,46.60E-9,84.33E-9,122.2E-9,160.1E-9,197.9E-9,246.0E-3,5.060E-6,3.861E-6,2.662E-6,1.466E-6,6.258E-6
246.0E-3,49.53E-9,89.66E-9,129.9E-9,170.2E-9,210.5E-9,248.0E-3,5.370E-6,4.097E-6,2.824E-6,1.556E-6,6.642E-6
248.0E-3,52.64E-9,95.31E-9,138.1E-9,180.9E-9,223.7E-9,250.0E-3,5.698E-6,4.348E-6,2.997E-6,1.650E-6,7.048E-6
250.0E-3,55.95E-9,101.3E-9,146.8E-9,192.3E-9,237.8E-9,252.0E-3,6.046E-6,4.613E-6,3.179E-6,1.750E-6,7.478E-6
252.0E-3,59.45E-9,107.7E-9,156.0E-9,204.4E-9,252.8E-9,254.0E-3,6.413E-6,4.893E-6,3.372E-6,1.856E-6,7.933E-6
254.0E-3,63.16E-9,114.4E-9,165.8E-9,217.2E-9,268.7E-9,256.0E-3,6.802E-6,5.189E-6,3.576E-6,1.967E-6,8.414E-6
256.0E-3,67.09E-9,121.6E-9,176.2E-9,230.9E-9,285.5E-9,258.0E-3,7.213E-6,5.503E-6,3.791E-6,2.085E-6,8.923E-6
258.0E-3,71.26E-9,129.1E-9,187.2E-9,245.3E-9,303.3E-9,260.0E-3,7.648E-6,5.834E-6,4.019E-6,2.210E-6,9.461E-6
260.0E-3,75.68E-9,137.2E-9,198.9E-9,260.6E-9,322.3E-9,262.0E-3,8.107E-6,6.184E-6,4.260E-6,2.342E-6,10.03E-6
262.0E-3,80.36E-9,145.7E-9,211.3E-9,276.8E-9,342.3E-9,264.0E-3,8.592E-6,6.554E-6,4.514E-6,2.481E-6,10.63E-6
264.0E-3,85.33E-9,154.7E-9,224.4E-9,294.0E-9,363.6E-9,266.0E-3,9.105E-6,6.945E-6,4.783E-6,2.627E-6,11.27E-6
266.0E-3,90.58E-9,164.3E-9,238.3E-9,312.2E-9,386.1E-9,268.0E-3,9.647E-6,7.357E-6,5.066E-6,2.782E-6,11.94E-6
268.0E-3,96.15E-9,174.4E-9,253.0E-9,331.5E-9,410.0E-9,270.0E-3,10.22E-6,7.793E-6,5.366E-6,2.946E-6,12.64E-6
270.0E-3,102.0E-9,185.2E-9,268.6E-9,351.9E-9,435.3E-9,272.0E-3,10.82E-6,8.252E-6,5.682E-6,3.118E-6,13.39E-6
272.0E-3,108.3E-9,196.5E-9,285.1E-9,373.6E-9,462.0E-9,274.0E-3,11.46E-6,8.737E-6,6.015E-6,3.300E-6,14.18E-6
274.0E-3,114.9E-9,208.5E-9,302.5E-9,396.5E-9,490.4E-9,276.0E-3,12.13E-6,9.249E-6,6.366E-6,3.491E-6,15.01E-6
276.0E-3,121.9E-9,221.3E-9,321.0E-9,420.7E-9,520.4E-9,278.0E-3,12.84E-6,9.788E-6,6.737E-6,3.693E-6,15.89E-6
278.0E-3,129.2E-9,234.8E-9,340.6E-9,446.4E-9,552.2E-9,280.0E-3,13.58E-6,10.36E-6,7.127E-6,3.905E-6,16.81E-6
280.0E-3,137.0E-9,249.0E-9,361.3E-9,473.6E-9,585.8E-9,282.0E-3,14.37E-6,10.96E-6,7.538E-6,4.129E-6,17.79E-6
282.0E-3,145.3E-9,264.1E-9,383.2E-9,502.3E-9,621.4E-9,284.0E-3,15.20E-6,11.59E-6,7.971E-6,4.365E-6,18.81E-6
284.0E-3,154.0E-9,280.0E-9,406.4E-9,532.7E-9,659.0E-9,286.0E-3,16.07E-6,12.25E-6,8.428E-6,4.612E-6,19.89E-6
286.0E-3,163.3E-9,296.9E-9,430.9E-9,564.9E-9,698.8E-9,288.0E-3,16.99E-6,12.95E-6,8.908E-6,4.873E-6,21.03E-6
288.0E-3,173.0E-9,314.7E-9,456.8E-9,598.8E-9,740.9E-9,290.0E-3,17.96E-6,13.69E-6,9.413E-6,5.147E-6,22.23E-6
290.0E-3,183.3E-9,333.5E-9,484.2E-9,634.8E-9,785.3E-9,292.0E-3,18.98E-6,14.46E-6,9.944E-6,5.436E-6,23.49E-6
292.0E-3,194.2E-9,353.4E-9,513.1E-9,672.7E-9,832.3E-9,294.0E-3,20.05E-6,15.28E-6,10.50E-6,5.739E-6,24.82E-6
294.0E-3,205.7E-9,374.4E-9,543.7E-9,712.8E-9,881.9E-9,296.0E-3,21.17E-6,16.13E-6,11.09E-6,6.057E-6,26.21E-6
296.0E-3,217.8E-9,396.6E-9,575.9E-9,755.2E-9,934.4E-9,298.0E-3,22.36E-6,17.03E-6,11.71E-6,6.391E-6,27.68E-6
298.0E-3,230.5E-9,420.0E-9,610.0E-9,799.9E-9,989.7E-9,300.0E-3,23.60E-6,17.98E-6,12.35E-6,6.741E-6,29.22E-6
300.0E-3,244.0E-9,444.7E-9,645.9E-9,847.1E-9,1.048E-6,302.0E-3,24.90E-6,18.97E-6,13.03E-6,7.109E-6,30.83E-6
302.0E-3,258.2E-9,470.8E-9,683.9E-9,896.9E-9,1.110E-6,304.0E-3,26.27E-6,20.01E-6,13.75E-6,7.495E-6,32.53E-6
