dc (V),deriv(i("/NM0/D" ?result "dc")),dc (V),NM0:d (A)
712.0E-3,13.75E-3,710.0E-3,1.761E-3
714.0E-3,13.84E-3,712.0E-3,1.789E-3
716.0E-3,13.92E-3,714.0E-3,1.816E-3
718.0E-3,14.00E-3,716.0E-3,1.844E-3
720.0E-3,14.08E-3,718.0E-3,1.872E-3
722.0E-3,14.16E-3,720.0E-3,1.900E-3
724.0E-3,14.24E-3,722.0E-3,1.929E-3
726.0E-3,14.32E-3,724.0E-3,1.957E-3
728.0E-3,14.40E-3,726.0E-3,1.986E-3
730.0E-3,14.47E-3,728.0E-3,2.015E-3
732.0E-3,14.54E-3,730.0E-3,2.044E-3
734.0E-3,14.61E-3,732.0E-3,2.073E-3
736.0E-3,14.68E-3,734.0E-3,2.102E-3
738.0E-3,14.75E-3,736.0E-3,2.131E-3
740.0E-3,14.82E-3,738.0E-3,2.161E-3
742.0E-3,14.88E-3,740.0E-3,2.190E-3
744.0E-3,14.95E-3,742.0E-3,2.220E-3
746.0E-3,15.01E-3,744.0E-3,2.250E-3
748.0E-3,15.07E-3,746.0E-3,2.280E-3
750.0E-3,15.13E-3,748.0E-3,2.310E-3
752.0E-3,15.19E-3,750.0E-3,2.340E-3
754.0E-3,15.24E-3,752.0E-3,2.371E-3
756.0E-3,15.30E-3,754.0E-3,2.401E-3
758.0E-3,15.35E-3,756.0E-3,2.432E-3
760.0E-3,15.40E-3,758.0E-3,2.463E-3
762.0E-3,15.45E-3,760.0E-3,2.493E-3
764.0E-3,15.50E-3,762.0E-3,2.524E-3
766.0E-3,15.55E-3,764.0E-3,2.555E-3
768.0E-3,15.59E-3,766.0E-3,2.586E-3
770.0E-3,15.64E-3,768.0E-3,2.618E-3
772.0E-3,15.68E-3,770.0E-3,2.649E-3
774.0E-3,15.72E-3,772.0E-3,2.680E-3
776.0E-3,15.76E-3,774.0E-3,2.712E-3
778.0E-3,15.80E-3,776.0E-3,2.743E-3
780.0E-3,15.84E-3,778.0E-3,2.775E-3
782.0E-3,15.87E-3,780.0E-3,2.806E-3
784.0E-3,15.90E-3,782.0E-3,2.838E-3
786.0E-3,15.94E-3,784.0E-3,2.870E-3
788.0E-3,15.97E-3,786.0E-3,2.902E-3
790.0E-3,16.00E-3,788.0E-3,2.934E-3
792.0E-3,16.02E-3,790.0E-3,2.966E-3
794.0E-3,16.05E-3,792.0E-3,2.998E-3
796.0E-3,16.08E-3,794.0E-3,3.030E-3
798.0E-3,16.10E-3,796.0E-3,3.062E-3
800.0E-3,16.12E-3,798.0E-3,3.094E-3
802.0E-3,16.14E-3,800.0E-3,3.127E-3
804.0E-3,16.16E-3,802.0E-3,3.159E-3
806.0E-3,16.18E-3,804.0E-3,3.191E-3
808.0E-3,16.20E-3,806.0E-3,3.224E-3
810.0E-3,16.21E-3,808.0E-3,3.256E-3
812.0E-3,16.22E-3,810.0E-3,3.288E-3
814.0E-3,16.24E-3,812.0E-3,3.321E-3
816.0E-3,16.25E-3,814.0E-3,3.353E-3
818.0E-3,16.26E-3,816.0E-3,3.386E-3
820.0E-3,16.27E-3,818.0E-3,3.418E-3
822.0E-3,16.27E-3,820.0E-3,3.451E-3
824.0E-3,16.28E-3,822.0E-3,3.483E-3
826.0E-3,16.29E-3,824.0E-3,3.516E-3
828.0E-3,16.29E-3,826.0E-3,3.548E-3
830.0E-3,16.29E-3,828.0E-3,3.581E-3
832.0E-3,16.29E-3,830.0E-3,3.614E-3
834.0E-3,16.29E-3,832.0E-3,3.646E-3
836.0E-3,16.29E-3,834.0E-3,3.679E-3
838.0E-3,16.29E-3,836.0E-3,3.711E-3
840.0E-3,16.29E-3,838.0E-3,3.744E-3
842.0E-3,16.28E-3,840.0E-3,3.777E-3
844.0E-3,16.28E-3,842.0E-3,3.809E-3
846.0E-3,16.27E-3,844.0E-3,3.842E-3
848.0E-3,16.26E-3,846.0E-3,3.874E-3
850.0E-3,16.26E-3,848.0E-3,3.907E-3
