dc (V),V1:p (W=5.00e-06) (A),V1:p (W=1.00e-05) (A),V1:p (W=1.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 5e-06)),dc (V),V1:p (W=2.00e-05) (A)
194.0E-3,526.9E-6,1.055E-3,1.583E-3,196.0E-3,-9.986E-3,-7.488E-3,-4.990E-3,-2.492E-3,194.0E-3,2.111E-3
196.0E-3,521.9E-6,1.045E-3,1.568E-3,198.0E-3,-9.963E-3,-7.471E-3,-4.978E-3,-2.486E-3,196.0E-3,2.091E-3
198.0E-3,517.0E-6,1.035E-3,1.553E-3,200.0E-3,-9.939E-3,-7.453E-3,-4.967E-3,-2.480E-3,198.0E-3,2.071E-3
200.0E-3,512.0E-6,1.025E-3,1.538E-3,202.0E-3,-9.916E-3,-7.435E-3,-4.955E-3,-2.474E-3,200.0E-3,2.051E-3
202.0E-3,507.1E-6,1.015E-3,1.523E-3,204.0E-3,-9.892E-3,-7.417E-3,-4.943E-3,-2.468E-3,202.0E-3,2.031E-3
204.0E-3,502.1E-6,1.005E-3,1.508E-3,206.0E-3,-9.868E-3,-7.399E-3,-4.930E-3,-2.462E-3,204.0E-3,2.012E-3
206.0E-3,497.2E-6,995.3E-6,1.494E-3,208.0E-3,-9.843E-3,-7.381E-3,-4.918E-3,-2.456E-3,206.0E-3,1.992E-3
208.0E-3,492.3E-6,985.5E-6,1.479E-3,210.0E-3,-9.818E-3,-7.362E-3,-4.906E-3,-2.450E-3,208.0E-3,1.972E-3
210.0E-3,487.4E-6,975.7E-6,1.464E-3,212.0E-3,-9.793E-3,-7.343E-3,-4.893E-3,-2.443E-3,210.0E-3,1.953E-3
212.0E-3,482.5E-6,965.9E-6,1.449E-3,214.0E-3,-9.768E-3,-7.324E-3,-4.880E-3,-2.437E-3,212.0E-3,1.933E-3
214.0E-3,477.6E-6,956.1E-6,1.435E-3,216.0E-3,-9.742E-3,-7.305E-3,-4.867E-3,-2.430E-3,214.0E-3,1.914E-3
216.0E-3,472.8E-6,946.4E-6,1.420E-3,218.0E-3,-9.716E-3,-7.285E-3,-4.854E-3,-2.424E-3,216.0E-3,1.894E-3
218.0E-3,467.9E-6,936.7E-6,1.406E-3,220.0E-3,-9.690E-3,-7.265E-3,-4.841E-3,-2.417E-3,218.0E-3,1.875E-3
220.0E-3,463.1E-6,927.0E-6,1.391E-3,222.0E-3,-9.663E-3,-7.245E-3,-4.828E-3,-2.410E-3,220.0E-3,1.855E-3
222.0E-3,458.3E-6,917.3E-6,1.377E-3,224.0E-3,-9.636E-3,-7.225E-3,-4.814E-3,-2.404E-3,222.0E-3,1.836E-3
224.0E-3,453.4E-6,907.7E-6,1.362E-3,226.0E-3,-9.609E-3,-7.205E-3,-4.800E-3,-2.397E-3,224.0E-3,1.817E-3
226.0E-3,448.7E-6,898.1E-6,1.348E-3,228.0E-3,-9.581E-3,-7.184E-3,-4.787E-3,-2.390E-3,226.0E-3,1.797E-3
228.0E-3,443.9E-6,888.5E-6,1.333E-3,230.0E-3,-9.553E-3,-7.163E-3,-4.773E-3,-2.383E-3,228.0E-3,1.778E-3
230.0E-3,439.1E-6,879.0E-6,1.319E-3,232.0E-3,-9.525E-3,-7.141E-3,-4.758E-3,-2.375E-3,230.0E-3,1.759E-3
232.0E-3,434.4E-6,869.5E-6,1.305E-3,234.0E-3,-9.496E-3,-7.120E-3,-4.744E-3,-2.368E-3,232.0E-3,1.740E-3
234.0E-3,429.6E-6,860.0E-6,1.291E-3,236.0E-3,-9.467E-3,-7.098E-3,-4.729E-3,-2.361E-3,234.0E-3,1.721E-3
236.0E-3,424.9E-6,850.5E-6,1.276E-3,238.0E-3,-9.438E-3,-7.076E-3,-4.715E-3,-2.353E-3,236.0E-3,1.702E-3
238.0E-3,420.2E-6,841.1E-6,1.262E-3,240.0E-3,-9.408E-3,-7.054E-3,-4.700E-3,-2.346E-3,238.0E-3,1.683E-3
240.0E-3,415.5E-6,831.7E-6,1.248E-3,242.0E-3,-9.378E-3,-7.031E-3,-4.685E-3,-2.338E-3,240.0E-3,1.664E-3
242.0E-3,410.8E-6,822.3E-6,1.234E-3,244.0E-3,-9.347E-3,-7.008E-3,-4.669E-3,-2.331E-3,242.0E-3,1.646E-3
244.0E-3,406.2E-6,813.0E-6,1.220E-3,246.0E-3,-9.316E-3,-6.985E-3,-4.654E-3,-2.323E-3,244.0E-3,1.627E-3
246.0E-3,401.5E-6,803.7E-6,1.206E-3,248.0E-3,-9.285E-3,-6.962E-3,-4.638E-3,-2.315E-3,246.0E-3,1.608E-3
248.0E-3,396.9E-6,794.4E-6,1.192E-3,250.0E-3,-9.253E-3,-6.938E-3,-4.622E-3,-2.307E-3,248.0E-3,1.590E-3
250.0E-3,392.3E-6,785.2E-6,1.178E-3,252.0E-3,-9.221E-3,-6.914E-3,-4.606E-3,-2.299E-3,250.0E-3,1.571E-3
252.0E-3,387.7E-6,775.9E-6,1.164E-3,254.0E-3,-9.189E-3,-6.889E-3,-4.590E-3,-2.291E-3,252.0E-3,1.553E-3
254.0E-3,383.1E-6,766.8E-6,1.151E-3,256.0E-3,-9.156E-3,-6.865E-3,-4.573E-3,-2.283E-3,254.0E-3,1.534E-3
256.0E-3,378.5E-6,757.6E-6,1.137E-3,258.0E-3,-9.123E-3,-6.840E-3,-4.557E-3,-2.274E-3,256.0E-3,1.516E-3
258.0E-3,374.0E-6,748.5E-6,1.123E-3,260.0E-3,-9.089E-3,-6.814E-3,-4.540E-3,-2.266E-3,258.0E-3,1.498E-3
260.0E-3,369.4E-6,739.4E-6,1.110E-3,262.0E-3,-9.055E-3,-6.789E-3,-4.523E-3,-2.257E-3,260.0E-3,1.480E-3
262.0E-3,364.9E-6,730.4E-6,1.096E-3,264.0E-3,-9.020E-3,-6.763E-3,-4.505E-3,-2.248E-3,262.0E-3,1.462E-3
264.0E-3,360.4E-6,721.4E-6,1.083E-3,266.0E-3,-8.985E-3,-6.736E-3,-4.488E-3,-2.240E-3,264.0E-3,1.444E-3
266.0E-3,356.0E-6,712.4E-6,1.069E-3,268.0E-3,-8.950E-3,-6.710E-3,-4.470E-3,-2.231E-3,266.0E-3,1.426E-3
268.0E-3,351.5E-6,703.5E-6,1.056E-3,270.0E-3,-8.914E-3,-6.683E-3,-4.452E-3,-2.222E-3,268.0E-3,1.408E-3
270.0E-3,347.1E-6,694.6E-6,1.042E-3,272.0E-3,-8.877E-3,-6.656E-3,-4.434E-3,-2.212E-3,270.0E-3,1.390E-3
272.0E-3,342.6E-6,685.7E-6,1.029E-3,274.0E-3,-8.840E-3,-6.628E-3,-4.415E-3,-2.203E-3,272.0E-3,1.372E-3
274.0E-3,338.2E-6,676.9E-6,1.016E-3,276.0E-3,-8.803E-3,-6.600E-3,-4.397E-3,-2.194E-3,274.0E-3,1.354E-3
276.0E-3,333.8E-6,668.1E-6,1.002E-3,278.0E-3,-8.765E-3,-6.571E-3,-4.378E-3,-2.184E-3,276.0E-3,1.337E-3
278.0E-3,329.5E-6,659.3E-6,989.3E-6,280.0E-3,-8.727E-3,-6.543E-3,-4.358E-3,-2.175E-3,278.0E-3,1.319E-3
280.0E-3,325.1E-6,650.6E-6,976.3E-6,282.0E-3,-8.688E-3,-6.514E-3,-4.339E-3,-2.165E-3,280.0E-3,1.302E-3
282.0E-3,320.8E-6,641.9E-6,963.2E-6,284.0E-3,-8.649E-3,-6.484E-3,-4.319E-3,-2.155E-3,282.0E-3,1.284E-3
284.0E-3,316.5E-6,633.3E-6,950.3E-6,286.0E-3,-8.609E-3,-6.454E-3,-4.299E-3,-2.145E-3,284.0E-3,1.267E-3
286.0E-3,312.2E-6,624.7E-6,937.4E-6,288.0E-3,-8.569E-3,-6.424E-3,-4.279E-3,-2.135E-3,286.0E-3,1.250E-3
288.0E-3,307.9E-6,616.1E-6,924.5E-6,290.0E-3,-8.528E-3,-6.393E-3,-4.259E-3,-2.125E-3,288.0E-3,1.233E-3
290.0E-3,303.7E-6,607.6E-6,911.7E-6,292.0E-3,-8.486E-3,-6.362E-3,-4.238E-3,-2.114E-3,290.0E-3,1.216E-3
292.0E-3,299.4E-6,599.1E-6,899.0E-6,294.0E-3,-8.444E-3,-6.331E-3,-4.217E-3,-2.104E-3,292.0E-3,1.199E-3
294.0E-3,295.2E-6,590.7E-6,886.3E-6,296.0E-3,-8.402E-3,-6.299E-3,-4.196E-3,-2.093E-3,294.0E-3,1.182E-3
296.0E-3,291.0E-6,582.3E-6,873.7E-6,298.0E-3,-8.359E-3,-6.266E-3,-4.174E-3,-2.082E-3,296.0E-3,1.165E-3
298.0E-3,286.9E-6,574.0E-6,861.2E-6,300.0E-3,-8.315E-3,-6.234E-3,-4.152E-3,-2.072E-3,298.0E-3,1.148E-3
300.0E-3,282.7E-6,565.6E-6,848.7E-6,302.0E-3,-8.271E-3,-6.201E-3,-4.130E-3,-2.060E-3,300.0E-3,1.132E-3
302.0E-3,278.6E-6,557.4E-6,836.3E-6,304.0E-3,-8.226E-3,-6.167E-3,-4.108E-3,-2.049E-3,302.0E-3,1.115E-3
304.0E-3,274.5E-6,549.2E-6,824.0E-6,306.0E-3,-8.181E-3,-6.133E-3,-4.085E-3,-2.038E-3,304.0E-3,1.099E-3
306.0E-3,270.4E-6,541.0E-6,811.7E-6,308.0E-3,-8.135E-3,-6.098E-3,-4.062E-3,-2.026E-3,306.0E-3,1.082E-3
308.0E-3,266.4E-6,532.9E-6,799.5E-6,310.0E-3,-8.088E-3,-6.064E-3,-4.039E-3,-2.015E-3,308.0E-3,1.066E-3
310.0E-3,262.4E-6,524.8E-6,787.4E-6,312.0E-3,-8.041E-3,-6.028E-3,-4.015E-3,-2.003E-3,310.0E-3,1.050E-3
312.0E-3,258.4E-6,516.8E-6,775.4E-6,314.0E-3,-7.994E-3,-5.993E-3,-3.991E-3,-1.991E-3,312.0E-3,1.034E-3
314.0E-3,254.4E-6,508.8E-6,763.4E-6,316.0E-3,-7.945E-3,-5.956E-3,-3.967E-3,-1.979E-3,314.0E-3,1.018E-3
316.0E-3,250.4E-6,500.9E-6,751.5E-6,318.0E-3,-7.896E-3,-5.920E-3,-3.943E-3,-1.967E-3,316.0E-3,1.002E-3
318.0E-3,246.5E-6,493.0E-6,739.6E-6,320.0E-3,-7.847E-3,-5.882E-3,-3.918E-3,-1.954E-3,318.0E-3,986.2E-6
320.0E-3,242.6E-6,485.1E-6,727.9E-6,322.0E-3,-7.797E-3,-5.845E-3,-3.893E-3,-1.942E-3,320.0E-3,970.5E-6
