dc (V),V5:p (A),dc (V),1/deriv(i("/V5/PLUS" ?result "dc"))
363.0E-3,299.0E-6,366.5E-3,-4.616E3
366.5E-3,298.3E-6,370.0E-3,-4.599E3
370.0E-3,297.5E-6,373.5E-3,-4.581E3
373.5E-3,296.7E-6,377.0E-3,-4.563E3
377.0E-3,296.0E-6,380.5E-3,-4.545E3
380.5E-3,295.2E-6,384.0E-3,-4.526E3
384.0E-3,294.4E-6,387.5E-3,-4.508E3
387.5E-3,293.6E-6,391.0E-3,-4.489E3
391.0E-3,292.9E-6,394.5E-3,-4.470E3
394.5E-3,292.1E-6,398.0E-3,-4.451E3
398.0E-3,291.3E-6,401.5E-3,-4.431E3
401.5E-3,290.5E-6,405.0E-3,-4.412E3
405.0E-3,289.7E-6,408.5E-3,-4.392E3
408.5E-3,288.9E-6,412.0E-3,-4.371E3
412.0E-3,288.1E-6,415.5E-3,-4.351E3
415.5E-3,287.3E-6,419.0E-3,-4.330E3
419.0E-3,286.5E-6,422.5E-3,-4.309E3
422.5E-3,285.7E-6,426.0E-3,-4.288E3
426.0E-3,284.9E-6,429.5E-3,-4.266E3
429.5E-3,284.1E-6,433.0E-3,-4.244E3
433.0E-3,283.2E-6,436.5E-3,-4.222E3
436.5E-3,282.4E-6,440.0E-3,-4.199E3
440.0E-3,281.6E-6,443.5E-3,-4.176E3
443.5E-3,280.7E-6,447.0E-3,-4.153E3
447.0E-3,279.9E-6,450.5E-3,-4.129E3
450.5E-3,279.0E-6,454.0E-3,-4.105E3
454.0E-3,278.2E-6,457.5E-3,-4.080E3
457.5E-3,277.3E-6,461.0E-3,-4.055E3
461.0E-3,276.5E-6,464.5E-3,-4.029E3
464.5E-3,275.6E-6,468.0E-3,-4.003E3
468.0E-3,274.7E-6,471.5E-3,-3.976E3
471.5E-3,273.8E-6,475.0E-3,-3.949E3
475.0E-3,273.0E-6,478.5E-3,-3.921E3
478.5E-3,272.1E-6,482.0E-3,-3.893E3
482.0E-3,271.2E-6,485.5E-3,-3.864E3
485.5E-3,270.3E-6,489.0E-3,-3.834E3
489.0E-3,269.3E-6,492.5E-3,-3.803E3
492.5E-3,268.4E-6,496.0E-3,-3.772E3
496.0E-3,267.5E-6,499.5E-3,-3.740E3
499.5E-3,266.6E-6,503.0E-3,-3.707E3
503.0E-3,265.6E-6,506.5E-3,-3.674E3
506.5E-3,264.7E-6,510.0E-3,-3.639E3
510.0E-3,263.7E-6,513.5E-3,-3.603E3
513.5E-3,262.7E-6,517.0E-3,-3.567E3
517.0E-3,261.8E-6,520.5E-3,-3.529E3
520.5E-3,260.8E-6,524.0E-3,-3.490E3
524.0E-3,259.8E-6,527.5E-3,-3.450E3
527.5E-3,258.7E-6,531.0E-3,-3.409E3
531.0E-3,257.7E-6,534.5E-3,-3.367E3
534.5E-3,256.7E-6,538.0E-3,-3.323E3
538.0E-3,255.6E-6,541.5E-3,-3.278E3
541.5E-3,254.6E-6,545.0E-3,-3.231E3
545.0E-3,253.5E-6,548.5E-3,-3.183E3
548.5E-3,252.4E-6,552.0E-3,-3.133E3
552.0E-3,251.3E-6,555.5E-3,-3.081E3
555.5E-3,250.1E-6,559.0E-3,-3.028E3
559.0E-3,249.0E-6,562.5E-3,-2.973E3
562.5E-3,247.8E-6,566.0E-3,-2.916E3
566.0E-3,246.6E-6,569.5E-3,-2.858E3
569.5E-3,245.4E-6,573.0E-3,-2.797E3
573.0E-3,244.1E-6,576.5E-3,-2.735E3
576.5E-3,242.8E-6,580.0E-3,-2.671E3
580.0E-3,241.5E-6,583.5E-3,-2.605E3
583.5E-3,240.2E-6,587.0E-3,-2.537E3
587.0E-3,238.8E-6,590.5E-3,-2.467E3
590.5E-3,237.4E-6,594.0E-3,-2.396E3
594.0E-3,235.9E-6,597.5E-3,-2.323E3
597.5E-3,234.4E-6,601.0E-3,-2.249E3
601.0E-3,232.9E-6,604.5E-3,-2.173E3
604.5E-3,231.2E-6,608.0E-3,-2.097E3
608.0E-3,229.6E-6,611.5E-3,-2.019E3
