dc (V),NM1:d (A),dc (V),1/deriv(i("/NM1/D" ?result "dc"))
628.0E-3,498.3E-6,630.0E-3,3.195E3
630.0E-3,498.9E-6,632.0E-3,3.201E3
632.0E-3,499.5E-6,634.0E-3,3.207E3
634.0E-3,500.1E-6,636.0E-3,3.213E3
636.0E-3,500.8E-6,638.0E-3,3.219E3
638.0E-3,501.4E-6,640.0E-3,3.225E3
640.0E-3,502.0E-6,642.0E-3,3.231E3
642.0E-3,502.6E-6,644.0E-3,3.237E3
644.0E-3,503.2E-6,646.0E-3,3.243E3
646.0E-3,503.9E-6,648.0E-3,3.250E3
648.0E-3,504.5E-6,650.0E-3,3.256E3
650.0E-3,505.1E-6,652.0E-3,3.262E3
652.0E-3,505.7E-6,654.0E-3,3.268E3
654.0E-3,506.3E-6,656.0E-3,3.274E3
656.0E-3,506.9E-6,658.0E-3,3.280E3
658.0E-3,507.5E-6,660.0E-3,3.286E3
660.0E-3,508.1E-6,662.0E-3,3.292E3
662.0E-3,508.7E-6,664.0E-3,3.298E3
664.0E-3,509.3E-6,666.0E-3,3.304E3
666.0E-3,510.0E-6,668.0E-3,3.310E3
668.0E-3,510.6E-6,670.0E-3,3.316E3
670.0E-3,511.2E-6,672.0E-3,3.322E3
672.0E-3,511.8E-6,674.0E-3,3.327E3
674.0E-3,512.4E-6,676.0E-3,3.333E3
676.0E-3,513.0E-6,678.0E-3,3.339E3
678.0E-3,513.6E-6,680.0E-3,3.345E3
680.0E-3,514.2E-6,682.0E-3,3.351E3
682.0E-3,514.8E-6,684.0E-3,3.357E3
684.0E-3,515.4E-6,686.0E-3,3.363E3
686.0E-3,515.9E-6,688.0E-3,3.369E3
688.0E-3,516.5E-6,690.0E-3,3.375E3
690.0E-3,517.1E-6,692.0E-3,3.380E3
692.0E-3,517.7E-6,694.0E-3,3.386E3
694.0E-3,518.3E-6,696.0E-3,3.392E3
696.0E-3,518.9E-6,698.0E-3,3.398E3
698.0E-3,519.5E-6,700.0E-3,3.404E3
700.0E-3,520.1E-6,702.0E-3,3.410E3
702.0E-3,520.7E-6,704.0E-3,3.415E3
704.0E-3,521.3E-6,706.0E-3,3.421E3
706.0E-3,521.8E-6,708.0E-3,3.427E3
708.0E-3,522.4E-6,710.0E-3,3.433E3
710.0E-3,523.0E-6,712.0E-3,3.438E3
712.0E-3,523.6E-6,714.0E-3,3.444E3
714.0E-3,524.2E-6,716.0E-3,3.450E3
716.0E-3,524.7E-6,718.0E-3,3.455E3
718.0E-3,525.3E-6,720.0E-3,3.461E3
720.0E-3,525.9E-6,722.0E-3,3.467E3
722.0E-3,526.5E-6,724.0E-3,3.472E3
724.0E-3,527.1E-6,726.0E-3,3.478E3
726.0E-3,527.6E-6,728.0E-3,3.484E3
728.0E-3,528.2E-6,730.0E-3,3.489E3
730.0E-3,528.8E-6,732.0E-3,3.495E3
732.0E-3,529.4E-6,734.0E-3,3.501E3
734.0E-3,529.9E-6,736.0E-3,3.506E3
736.0E-3,530.5E-6,738.0E-3,3.512E3
738.0E-3,531.1E-6,740.0E-3,3.517E3
740.0E-3,531.6E-6,742.0E-3,3.523E3
742.0E-3,532.2E-6,744.0E-3,3.529E3
744.0E-3,532.8E-6,746.0E-3,3.534E3
746.0E-3,533.3E-6,748.0E-3,3.540E3
748.0E-3,533.9E-6,750.0E-3,3.545E3
750.0E-3,534.5E-6,752.0E-3,3.551E3
752.0E-3,535.0E-6,754.0E-3,3.556E3
754.0E-3,535.6E-6,756.0E-3,3.562E3
756.0E-3,536.2E-6,758.0E-3,3.567E3
758.0E-3,536.7E-6,760.0E-3,3.572E3
760.0E-3,537.3E-6,762.0E-3,3.578E3
762.0E-3,537.8E-6,764.0E-3,3.583E3
764.0E-3,538.4E-6,766.0E-3,3.589E3
766.0E-3,538.9E-6,768.0E-3,3.594E3
768.0E-3,539.5E-6,770.0E-3,3.600E3
770.0E-3,540.1E-6,772.0E-3,3.605E3
772.0E-3,540.6E-6,774.0E-3,3.610E3
774.0E-3,541.2E-6,776.0E-3,3.616E3
776.0E-3,541.7E-6,778.0E-3,3.621E3
778.0E-3,542.3E-6,780.0E-3,3.626E3
780.0E-3,542.8E-6,782.0E-3,3.632E3
782.0E-3,543.4E-6,784.0E-3,3.637E3
