dc (V),V1:p (Wn=5.00e-06) (A),V1:p (Wn=1.00e-05) (A),V1:p (Wn=1.50e-05) (A),V1:p (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1e-05)),dc (V),V1:p (Wn=2.00e-05) (A)
210.0E-3,47.62E-6,94.59E-6,141.5E-6,235.3E-6,212.0E-3,-3.763E-3,-3.011E-3,-2.258E-3,-1.506E-3,210.0E-3,188.4E-6
212.0E-3,46.11E-6,91.58E-6,137.0E-6,227.8E-6,214.0E-3,-3.675E-3,-2.940E-3,-2.205E-3,-1.470E-3,212.0E-3,182.4E-6
214.0E-3,44.64E-6,88.64E-6,132.6E-6,220.5E-6,216.0E-3,-3.586E-3,-2.869E-3,-2.152E-3,-1.435E-3,214.0E-3,176.5E-6
216.0E-3,43.20E-6,85.77E-6,128.3E-6,213.3E-6,218.0E-3,-3.499E-3,-2.800E-3,-2.100E-3,-1.400E-3,216.0E-3,170.8E-6
218.0E-3,41.80E-6,82.97E-6,124.1E-6,206.3E-6,220.0E-3,-3.413E-3,-2.731E-3,-2.048E-3,-1.366E-3,218.0E-3,165.2E-6
220.0E-3,40.43E-6,80.24E-6,120.0E-6,199.5E-6,222.0E-3,-3.327E-3,-2.662E-3,-1.997E-3,-1.332E-3,220.0E-3,159.7E-6
222.0E-3,39.10E-6,77.57E-6,116.0E-6,192.8E-6,224.0E-3,-3.243E-3,-2.595E-3,-1.947E-3,-1.298E-3,222.0E-3,154.4E-6
224.0E-3,37.80E-6,74.98E-6,112.1E-6,186.3E-6,226.0E-3,-3.159E-3,-2.528E-3,-1.897E-3,-1.265E-3,224.0E-3,149.2E-6
226.0E-3,36.53E-6,72.45E-6,108.3E-6,180.0E-6,228.0E-3,-3.077E-3,-2.462E-3,-1.847E-3,-1.232E-3,226.0E-3,144.2E-6
228.0E-3,35.29E-6,69.98E-6,104.6E-6,173.9E-6,230.0E-3,-2.995E-3,-2.397E-3,-1.798E-3,-1.200E-3,228.0E-3,139.2E-6
230.0E-3,34.09E-6,67.58E-6,101.0E-6,167.9E-6,232.0E-3,-2.915E-3,-2.333E-3,-1.750E-3,-1.168E-3,230.0E-3,134.5E-6
232.0E-3,32.92E-6,65.25E-6,97.53E-6,162.0E-6,234.0E-3,-2.836E-3,-2.269E-3,-1.703E-3,-1.136E-3,232.0E-3,129.8E-6
234.0E-3,31.78E-6,62.98E-6,94.12E-6,156.4E-6,236.0E-3,-2.758E-3,-2.207E-3,-1.656E-3,-1.105E-3,234.0E-3,125.2E-6
236.0E-3,30.67E-6,60.77E-6,90.81E-6,150.9E-6,238.0E-3,-2.681E-3,-2.146E-3,-1.610E-3,-1.074E-3,236.0E-3,120.8E-6
238.0E-3,29.60E-6,58.62E-6,87.59E-6,145.5E-6,240.0E-3,-2.605E-3,-2.085E-3,-1.565E-3,-1.044E-3,238.0E-3,116.5E-6
240.0E-3,28.55E-6,56.53E-6,84.46E-6,140.3E-6,242.0E-3,-2.531E-3,-2.026E-3,-1.520E-3,-1.014E-3,240.0E-3,112.4E-6
242.0E-3,27.53E-6,54.50E-6,81.42E-6,135.2E-6,244.0E-3,-2.458E-3,-1.967E-3,-1.476E-3,-985.2E-6,242.0E-3,108.3E-6
244.0E-3,26.54E-6,52.53E-6,78.47E-6,130.3E-6,246.0E-3,-2.386E-3,-1.910E-3,-1.433E-3,-956.5E-6,244.0E-3,104.4E-6
246.0E-3,25.58E-6,50.62E-6,75.60E-6,125.5E-6,248.0E-3,-2.315E-3,-1.853E-3,-1.391E-3,-928.4E-6,246.0E-3,100.6E-6
248.0E-3,24.65E-6,48.76E-6,72.82E-6,120.9E-6,250.0E-3,-2.246E-3,-1.798E-3,-1.349E-3,-900.7E-6,248.0E-3,96.86E-6
250.0E-3,23.75E-6,46.96E-6,70.12E-6,116.4E-6,252.0E-3,-2.178E-3,-1.743E-3,-1.309E-3,-873.6E-6,250.0E-3,93.27E-6
252.0E-3,22.87E-6,45.21E-6,67.51E-6,112.1E-6,254.0E-3,-2.111E-3,-1.690E-3,-1.269E-3,-847.0E-6,252.0E-3,89.78E-6
254.0E-3,22.02E-6,43.52E-6,64.97E-6,107.8E-6,256.0E-3,-2.046E-3,-1.638E-3,-1.229E-3,-820.9E-6,254.0E-3,86.40E-6
256.0E-3,21.19E-6,41.88E-6,62.51E-6,103.7E-6,258.0E-3,-1.982E-3,-1.586E-3,-1.191E-3,-795.3E-6,256.0E-3,83.13E-6
258.0E-3,20.39E-6,40.29E-6,60.13E-6,99.77E-6,260.0E-3,-1.919E-3,-1.536E-3,-1.153E-3,-770.3E-6,258.0E-3,79.95E-6
260.0E-3,19.62E-6,38.75E-6,57.82E-6,95.94E-6,262.0E-3,-1.858E-3,-1.487E-3,-1.117E-3,-745.8E-6,260.0E-3,76.88E-6
262.0E-3,18.87E-6,37.25E-6,55.59E-6,92.22E-6,264.0E-3,-1.798E-3,-1.439E-3,-1.081E-3,-721.9E-6,262.0E-3,73.91E-6
264.0E-3,18.14E-6,35.81E-6,53.43E-6,88.63E-6,266.0E-3,-1.739E-3,-1.392E-3,-1.045E-3,-698.5E-6,264.0E-3,71.03E-6
266.0E-3,17.44E-6,34.41E-6,51.34E-6,85.15E-6,268.0E-3,-1.682E-3,-1.346E-3,-1.011E-3,-675.6E-6,266.0E-3,68.24E-6
268.0E-3,16.76E-6,33.06E-6,49.31E-6,81.79E-6,270.0E-3,-1.626E-3,-1.302E-3,-977.6E-6,-653.3E-6,268.0E-3,65.55E-6
270.0E-3,16.10E-6,31.76E-6,47.36E-6,78.53E-6,272.0E-3,-1.571E-3,-1.258E-3,-944.8E-6,-631.4E-6,270.0E-3,62.95E-6
272.0E-3,15.47E-6,30.49E-6,45.47E-6,75.39E-6,274.0E-3,-1.518E-3,-1.215E-3,-912.8E-6,-610.2E-6,272.0E-3,60.43E-6
274.0E-3,14.85E-6,29.27E-6,43.64E-6,72.36E-6,276.0E-3,-1.466E-3,-1.174E-3,-881.7E-6,-589.4E-6,274.0E-3,58.00E-6
276.0E-3,14.26E-6,28.09E-6,41.88E-6,69.43E-6,278.0E-3,-1.415E-3,-1.133E-3,-851.3E-6,-569.2E-6,276.0E-3,55.65E-6
278.0E-3,13.69E-6,26.96E-6,40.18E-6,66.60E-6,280.0E-3,-1.366E-3,-1.094E-3,-821.7E-6,-549.5E-6,278.0E-3,53.39E-6
280.0E-3,13.13E-6,25.86E-6,38.53E-6,63.86E-6,282.0E-3,-1.318E-3,-1.055E-3,-792.9E-6,-530.3E-6,280.0E-3,51.20E-6
282.0E-3,12.60E-6,24.80E-6,36.95E-6,61.23E-6,284.0E-3,-1.271E-3,-1.018E-3,-764.9E-6,-511.6E-6,282.0E-3,49.09E-6
284.0E-3,12.08E-6,23.77E-6,35.42E-6,58.69E-6,286.0E-3,-1.225E-3,-981.6E-6,-737.6E-6,-493.4E-6,284.0E-3,47.05E-6
286.0E-3,11.58E-6,22.79E-6,33.94E-6,56.24E-6,288.0E-3,-1.181E-3,-946.2E-6,-711.1E-6,-475.8E-6,286.0E-3,45.09E-6
288.0E-3,11.10E-6,21.83E-6,32.52E-6,53.87E-6,290.0E-3,-1.138E-3,-911.8E-6,-685.3E-6,-458.6E-6,288.0E-3,43.20E-6
290.0E-3,10.64E-6,20.92E-6,31.15E-6,51.60E-6,292.0E-3,-1.097E-3,-878.4E-6,-660.3E-6,-441.9E-6,290.0E-3,41.37E-6
292.0E-3,10.19E-6,20.03E-6,29.83E-6,49.40E-6,294.0E-3,-1.056E-3,-846.0E-6,-635.9E-6,-425.7E-6,292.0E-3,39.62E-6
