dc (V),V1:p (W=3.00e-06) (A),V1:p (W=6.00e-06) (A),V1:p (W=9.00e-06) (A),V1:p (W=1.20e-05) (A),V1:p (W=1.50e-05) (A),V1:p (W=1.80e-05) (A),V1:p (W=2.10e-05) (A),V1:p (W=2.70e-05) (A),V1:p (W=3.00e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.7e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.4e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.8e-05)),dc (V),V1:p (W=2.40e-05) (A)
120.0E-3,430.9E-6,862.2E-6,1.294E-3,1.726E-3,2.158E-3,2.590E-3,3.022E-3,3.886E-3,4.318E-3,122.0E-3,-16.03E-3,-14.43E-3,-12.82E-3,-11.22E-3,-9.616E-3,120.0E-3,3.454E-3
122.0E-3,427.7E-6,855.8E-6,1.285E-3,1.714E-3,2.142E-3,2.571E-3,3.000E-3,3.857E-3,4.286E-3,124.0E-3,-16.01E-3,-14.40E-3,-12.80E-3,-11.20E-3,-9.602E-3,122.0E-3,3.429E-3
124.0E-3,424.5E-6,849.4E-6,1.275E-3,1.701E-3,2.126E-3,2.552E-3,2.977E-3,3.829E-3,4.254E-3,126.0E-3,-15.98E-3,-14.38E-3,-12.79E-3,-11.19E-3,-9.588E-3,124.0E-3,3.403E-3
126.0E-3,421.3E-6,843.0E-6,1.265E-3,1.688E-3,2.110E-3,2.533E-3,2.955E-3,3.800E-3,4.222E-3,128.0E-3,-15.96E-3,-14.36E-3,-12.77E-3,-11.17E-3,-9.574E-3,126.0E-3,3.377E-3
128.0E-3,418.1E-6,836.6E-6,1.256E-3,1.675E-3,2.094E-3,2.514E-3,2.933E-3,3.771E-3,4.190E-3,130.0E-3,-15.93E-3,-14.34E-3,-12.75E-3,-11.15E-3,-9.560E-3,128.0E-3,3.352E-3
130.0E-3,415.0E-6,830.2E-6,1.246E-3,1.662E-3,2.078E-3,2.494E-3,2.910E-3,3.742E-3,4.158E-3,132.0E-3,-15.91E-3,-14.32E-3,-12.73E-3,-11.14E-3,-9.545E-3,130.0E-3,3.326E-3
132.0E-3,411.8E-6,823.9E-6,1.237E-3,1.650E-3,2.063E-3,2.475E-3,2.888E-3,3.714E-3,4.127E-3,134.0E-3,-15.89E-3,-14.30E-3,-12.71E-3,-11.12E-3,-9.530E-3,132.0E-3,3.301E-3
134.0E-3,408.6E-6,817.5E-6,1.227E-3,1.637E-3,2.047E-3,2.456E-3,2.866E-3,3.685E-3,4.095E-3,136.0E-3,-15.86E-3,-14.27E-3,-12.69E-3,-11.10E-3,-9.516E-3,134.0E-3,3.276E-3
136.0E-3,405.4E-6,811.2E-6,1.218E-3,1.624E-3,2.031E-3,2.437E-3,2.844E-3,3.657E-3,4.063E-3,138.0E-3,-15.84E-3,-14.25E-3,-12.67E-3,-11.08E-3,-9.501E-3,136.0E-3,3.250E-3
138.0E-3,402.3E-6,804.9E-6,1.208E-3,1.612E-3,2.015E-3,2.418E-3,2.822E-3,3.628E-3,4.031E-3,140.0E-3,-15.81E-3,-14.23E-3,-12.65E-3,-11.07E-3,-9.485E-3,138.0E-3,3.225E-3
140.0E-3,399.1E-6,798.5E-6,1.199E-3,1.599E-3,1.999E-3,2.399E-3,2.799E-3,3.600E-3,4.000E-3,142.0E-3,-15.79E-3,-14.21E-3,-12.63E-3,-11.05E-3,-9.470E-3,140.0E-3,3.200E-3
142.0E-3,396.0E-6,792.2E-6,1.189E-3,1.586E-3,1.983E-3,2.380E-3,2.777E-3,3.571E-3,3.968E-3,144.0E-3,-15.76E-3,-14.18E-3,-12.61E-3,-11.03E-3,-9.455E-3,142.0E-3,3.174E-3
144.0E-3,392.8E-6,785.9E-6,1.180E-3,1.574E-3,1.968E-3,2.361E-3,2.755E-3,3.543E-3,3.937E-3,146.0E-3,-15.73E-3,-14.16E-3,-12.59E-3,-11.01E-3,-9.439E-3,144.0E-3,3.149E-3
146.0E-3,389.7E-6,779.6E-6,1.170E-3,1.561E-3,1.952E-3,2.343E-3,2.733E-3,3.515E-3,3.905E-3,148.0E-3,-15.71E-3,-14.14E-3,-12.57E-3,-10.99E-3,-9.423E-3,146.0E-3,3.124E-3
148.0E-3,386.6E-6,773.4E-6,1.161E-3,1.549E-3,1.936E-3,2.324E-3,2.711E-3,3.486E-3,3.874E-3,150.0E-3,-15.68E-3,-14.11E-3,-12.54E-3,-10.98E-3,-9.407E-3,148.0E-3,3.099E-3
150.0E-3,383.4E-6,767.1E-6,1.152E-3,1.536E-3,1.921E-3,2.305E-3,2.689E-3,3.458E-3,3.842E-3,152.0E-3,-15.65E-3,-14.09E-3,-12.52E-3,-10.96E-3,-9.391E-3,150.0E-3,3.074E-3
152.0E-3,380.3E-6,760.8E-6,1.142E-3,1.524E-3,1.905E-3,2.286E-3,2.667E-3,3.430E-3,3.811E-3,154.0E-3,-15.63E-3,-14.06E-3,-12.50E-3,-10.94E-3,-9.375E-3,152.0E-3,3.049E-3
154.0E-3,377.2E-6,754.6E-6,1.133E-3,1.511E-3,1.889E-3,2.267E-3,2.646E-3,3.402E-3,3.780E-3,156.0E-3,-15.60E-3,-14.04E-3,-12.48E-3,-10.92E-3,-9.358E-3,154.0E-3,3.024E-3
156.0E-3,374.1E-6,748.4E-6,1.124E-3,1.499E-3,1.874E-3,2.249E-3,2.624E-3,3.374E-3,3.749E-3,158.0E-3,-15.57E-3,-14.01E-3,-12.46E-3,-10.90E-3,-9.341E-3,156.0E-3,2.999E-3
158.0E-3,371.0E-6,742.1E-6,1.114E-3,1.486E-3,1.858E-3,2.230E-3,2.602E-3,3.346E-3,3.718E-3,160.0E-3,-15.54E-3,-13.99E-3,-12.43E-3,-10.88E-3,-9.325E-3,158.0E-3,2.974E-3
160.0E-3,367.9E-6,735.9E-6,1.105E-3,1.474E-3,1.843E-3,2.211E-3,2.580E-3,3.318E-3,3.686E-3,162.0E-3,-15.52E-3,-13.96E-3,-12.41E-3,-10.86E-3,-9.307E-3,160.0E-3,2.949E-3
162.0E-3,364.8E-6,729.7E-6,1.096E-3,1.461E-3,1.827E-3,2.193E-3,2.558E-3,3.290E-3,3.655E-3,164.0E-3,-15.49E-3,-13.94E-3,-12.39E-3,-10.84E-3,-9.290E-3,162.0E-3,2.924E-3
164.0E-3,361.7E-6,723.5E-6,1.086E-3,1.449E-3,1.812E-3,2.174E-3,2.537E-3,3.262E-3,3.624E-3,166.0E-3,-15.46E-3,-13.91E-3,-12.37E-3,-10.82E-3,-9.273E-3,164.0E-3,2.899E-3
166.0E-3,358.6E-6,717.4E-6,1.077E-3,1.437E-3,1.796E-3,2.156E-3,2.515E-3,3.234E-3,3.594E-3,168.0E-3,-15.43E-3,-13.89E-3,-12.34E-3,-10.80E-3,-9.255E-3,166.0E-3,2.875E-3
168.0E-3,355.5E-6,711.2E-6,1.068E-3,1.424E-3,1.781E-3,2.137E-3,2.494E-3,3.206E-3,3.563E-3,170.0E-3,-15.40E-3,-13.86E-3,-12.32E-3,-10.78E-3,-9.237E-3,168.0E-3,2.850E-3
170.0E-3,352.4E-6,705.0E-6,1.059E-3,1.412E-3,1.765E-3,2.119E-3,2.472E-3,3.179E-3,3.532E-3,172.0E-3,-15.37E-3,-13.83E-3,-12.29E-3,-10.76E-3,-9.219E-3,170.0E-3,2.825E-3
172.0E-3,349.4E-6,698.9E-6,1.049E-3,1.400E-3,1.750E-3,2.100E-3,2.450E-3,3.151E-3,3.501E-3,174.0E-3,-15.34E-3,-13.80E-3,-12.27E-3,-10.74E-3,-9.201E-3,172.0E-3,2.801E-3
174.0E-3,346.3E-6,692.8E-6,1.040E-3,1.387E-3,1.735E-3,2.082E-3,2.429E-3,3.123E-3,3.470E-3,176.0E-3,-15.31E-3,-13.78E-3,-12.25E-3,-10.71E-3,-9.183E-3,174.0E-3,2.776E-3
176.0E-3,343.3E-6,686.7E-6,1.031E-3,1.375E-3,1.719E-3,2.063E-3,2.408E-3,3.096E-3,3.440E-3,178.0E-3,-15.28E-3,-13.75E-3,-12.22E-3,-10.69E-3,-9.164E-3,176.0E-3,2.752E-3
178.0E-3,340.2E-6,680.6E-6,1.022E-3,1.363E-3,1.704E-3,2.045E-3,2.386E-3,3.068E-3,3.409E-3,180.0E-3,-15.25E-3,-13.72E-3,-12.20E-3,-10.67E-3,-9.145E-3,178.0E-3,2.727E-3
180.0E-3,337.2E-6,674.5E-6,1.013E-3,1.351E-3,1.689E-3,2.027E-3,2.365E-3,3.041E-3,3.379E-3,182.0E-3,-15.21E-3,-13.69E-3,-12.17E-3,-10.65E-3,-9.126E-3,180.0E-3,2.703E-3
182.0E-3,334.2E-6,668.4E-6,1.004E-3,1.339E-3,1.674E-3,2.009E-3,2.344E-3,3.013E-3,3.348E-3,184.0E-3,-15.18E-3,-13.66E-3,-12.14E-3,-10.63E-3,-9.107E-3,182.0E-3,2.678E-3
