dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
388.0E-3,5.905E-3,505.1E-6,390.0E-3,-5.709E-3,254.4E-6
390.0E-3,5.905E-3,493.7E-6,392.0E-3,-5.637E-3,265.2E-6
392.0E-3,5.905E-3,482.4E-6,394.0E-3,-5.565E-3,276.4E-6
394.0E-3,5.905E-3,471.3E-6,396.0E-3,-5.492E-3,288.0E-6
396.0E-3,5.905E-3,460.3E-6,398.0E-3,-5.419E-3,300.0E-6
398.0E-3,5.905E-3,449.5E-6,400.0E-3,-5.345E-3,312.4E-6
400.0E-3,5.905E-3,438.8E-6,402.0E-3,-5.271E-3,325.3E-6
402.0E-3,5.905E-3,428.2E-6,404.0E-3,-5.196E-3,338.5E-6
404.0E-3,5.905E-3,417.8E-6,406.0E-3,-5.122E-3,352.2E-6
406.0E-3,5.905E-3,407.6E-6,408.0E-3,-5.047E-3,366.4E-6
408.0E-3,5.905E-3,397.5E-6,410.0E-3,-4.971E-3,381.1E-6
410.0E-3,5.905E-3,387.5E-6,412.0E-3,-4.896E-3,396.2E-6
412.0E-3,5.905E-3,377.8E-6,414.0E-3,-4.820E-3,411.8E-6
414.0E-3,5.905E-3,368.1E-6,416.0E-3,-4.744E-3,428.0E-6
416.0E-3,5.905E-3,358.6E-6,418.0E-3,-4.667E-3,444.6E-6
418.0E-3,5.905E-3,349.3E-6,420.0E-3,-4.591E-3,461.8E-6
420.0E-3,5.905E-3,340.1E-6,422.0E-3,-4.514E-3,479.6E-6
422.0E-3,5.905E-3,331.1E-6,424.0E-3,-4.438E-3,497.9E-6
424.0E-3,5.905E-3,322.2E-6,426.0E-3,-4.361E-3,516.8E-6
426.0E-3,5.905E-3,313.5E-6,428.0E-3,-4.284E-3,536.3E-6
428.0E-3,5.905E-3,304.9E-6,430.0E-3,-4.208E-3,556.5E-6
430.0E-3,5.905E-3,296.5E-6,432.0E-3,-4.131E-3,577.2E-6
432.0E-3,5.905E-3,288.2E-6,434.0E-3,-4.055E-3,598.6E-6
434.0E-3,5.905E-3,280.1E-6,436.0E-3,-3.978E-3,620.7E-6
436.0E-3,5.905E-3,272.2E-6,438.0E-3,-3.902E-3,643.5E-6
438.0E-3,5.905E-3,264.4E-6,440.0E-3,-3.826E-3,666.9E-6
440.0E-3,5.905E-3,256.7E-6,442.0E-3,-3.750E-3,691.1E-6
442.0E-3,5.905E-3,249.2E-6,444.0E-3,-3.674E-3,716.0E-6
444.0E-3,5.905E-3,241.9E-6,446.0E-3,-3.599E-3,741.7E-6
446.0E-3,5.905E-3,234.7E-6,448.0E-3,-3.524E-3,768.1E-6
448.0E-3,5.905E-3,227.6E-6,450.0E-3,-3.449E-3,795.3E-6
450.0E-3,5.905E-3,220.7E-6,452.0E-3,-3.375E-3,823.4E-6
452.0E-3,5.905E-3,214.0E-6,454.0E-3,-3.301E-3,852.3E-6
454.0E-3,5.905E-3,207.4E-6,456.0E-3,-3.228E-3,882.0E-6
456.0E-3,5.905E-3,200.9E-6,458.0E-3,-3.155E-3,912.6E-6
458.0E-3,5.905E-3,194.6E-6,460.0E-3,-3.083E-3,944.0E-6
460.0E-3,5.905E-3,188.4E-6,462.0E-3,-3.011E-3,976.4E-6
462.0E-3,5.905E-3,182.4E-6,464.0E-3,-2.940E-3,1.010E-3
464.0E-3,5.905E-3,176.5E-6,466.0E-3,-2.869E-3,1.044E-3
466.0E-3,5.905E-3,170.8E-6,468.0E-3,-2.800E-3,1.079E-3
468.0E-3,5.905E-3,165.2E-6,470.0E-3,-2.731E-3,1.115E-3
470.0E-3,5.905E-3,159.7E-6,472.0E-3,-2.662E-3,1.153E-3
472.0E-3,5.905E-3,154.4E-6,474.0E-3,-2.595E-3,1.191E-3
474.0E-3,5.905E-3,149.2E-6,476.0E-3,-2.528E-3,1.230E-3
476.0E-3,5.905E-3,144.2E-6,478.0E-3,-2.462E-3,1.271E-3
478.0E-3,5.905E-3,139.2E-6,480.0E-3,-2.397E-3,1.312E-3
480.0E-3,5.905E-3,134.5E-6,482.0E-3,-2.333E-3,1.355E-3
482.0E-3,5.905E-3,129.8E-6,484.0E-3,-2.269E-3,1.398E-3
484.0E-3,5.905E-3,125.2E-6,486.0E-3,-2.207E-3,1.443E-3
486.0E-3,5.905E-3,120.8E-6,488.0E-3,-2.146E-3,1.489E-3
488.0E-3,5.905E-3,116.5E-6,490.0E-3,-2.085E-3,1.536E-3
490.0E-3,5.905E-3,112.4E-6,492.0E-3,-2.026E-3,1.584E-3
492.0E-3,5.905E-3,108.3E-6,494.0E-3,-1.967E-3,1.634E-3
494.0E-3,5.905E-3,104.4E-6,496.0E-3,-1.910E-3,1.684E-3
496.0E-3,5.905E-3,100.6E-6,498.0E-3,-1.853E-3,1.736E-3
498.0E-3,5.905E-3,96.86E-6,500.0E-3,-1.798E-3,1.789E-3
500.0E-3,5.905E-3,93.27E-6,502.0E-3,-1.743E-3,1.844E-3
502.0E-3,5.905E-3,89.78E-6,504.0E-3,-1.690E-3,1.900E-3
504.0E-3,5.905E-3,86.40E-6,506.0E-3,-1.638E-3,1.956E-3
